pos_triplet
"coroner, involve, people"
"informer, involve, insect"
"tracksuit, require, electricity"
"wolf, eat, chicken"
"microphone, crush, thing"
"person, eat, home"
"person, see, drill"
"waterwheel, need, gasoline"
"person, hold, headwind"
"people, use, neckline"
"wagon, have, wheel"
"telephone, have, button"
"dust, make, noise"
"kettledrum, make, noise"
"whale, eat, cheeseburger"
"nightwear, tell, time"
"person, burn, webmaster"
"nail, have, pilot"
"statesman, involve, food"
"light, require, electricity"
"tea, involve, weapon"
"airlift, have, wheel"
"platypus, have, fur"
"human, create, sun"
"multiprocessor, require, electricity"
"murder, have, fur"
"reindeer, have, stripe"
"person, use, ax"
"person, buy, abuser"
"kid, use, floodplain"
"shampoo, have, lid"
"correspondent, have, hair"
"person, use, seat"
"school, have, cell"
"busboy, have, brain"
"tissue, require, electric"
"truck, have, motor"
"doctor, use, capacitor"
"hand, make, noise"
"shoe, have, flower"
"person, break, phone"
"person, eat, collar"
"person, eat, whetstone"
"condor, have, legg"
"tree, have, branch"
"hose, produce, water"
"barbwire, have, handle"
"firefly, have, fur"
"counterterrorist, eat, meat"
"baptizer, involve, machinery"
"person, grow, truckload"
"judge, consult, people"
"pain, support, structure"
"chairlift, contain, water"
"dog, like, meat"
"people, use, thumbnail"
"concert, involve, teacher"
"holder, serve, purpose"
"postcard, have, smell"
"heap, use, electricity"
"coliseum, produce, heat"
"monitor, use, electricity"
"surgeon, use, harpoon"
"person, buy, postcard"
"person, own, chips"
"people, see, airstrip"
"honeybee, make, honey"
"person, touch, notepad"
"person, buy, distillery"
"mademoiselle, have, job"
"person, touch, ghost"
"ballplayer, have, arm"
"murder, help, human"
"person, move, gyro"
"person, smoke, inks"
"person, freeze, clan"
"person, eat, mahjong"
"seller, have, purpose"
"person, hold, viewfinder"
"hand, hold, something"
"pileup, emit, light"
"person, see, acupuncture"
"person, practice, skydiving"
"person, drink, dime"
"froth, have, light"
"canola, have, button"
"child, use, vibrate"
"goat, have, horn"
"barometer, involve, weather"
"person, eat, firewood"
"flypaper, have, wheel"
"person, see, bandleader"
"beaker, hold, thing"
"collarbone, make, noise"
"tablespoonful, have, lid"
"people, eat, culprit"
"autograph, provide, service"
"axe, make, sound"
"lane, have, end"
"rigger, involve, animal"
"person, see, hydroplane"
"uncle, eat, meat"
"cufflink, require, electricity"
"panther, give, fruit"
"coupler, bind, thing"
"pushbutton, have, handle"
"engine, run, car"
"paint, make, noise"
"horse, cost, $"
"person, own, scalpel"
"bin, hold, trash"
"sunspot, make, sound"
"clutter, cost, money"
"person, eat, board"
"fireplace, give, heat"
"person, hold, doggy"
"petrol, have, color"
"gas, use, electricity"
"person, eat, fingerprint"
"stove, use, electricity"
"giver, eat, cheeseburger"
"rattrap, have, handle"
"fir, have, needle"
"person, hold, cavern"
"armrest, breath, air"
"wienie, have, tail"
"person, wear, liner"
"kitten, have, beak"
"vault, create, something"
"person, eat, magazine"
"child, use, spoon"
"person, buy, hound"
"urine, use, electricity"
"eyes, hold, thing"
"shellfish, have, shell"
"photojournalist, have, window"
"comma, take, battery"
"dribbler, require, hand"
"person, move, craps"
"person, use, flamethrower"
"packaging, have, mind"
"tarp, need, something"
"person, hold, aphid"
"snails, have, wing"
"house, have, mailbox"
"person, tear, sprayer"
"jackknife, have, screen"
"person, eat, conservatory"
"heron, have, beak"
"sharkskin, require, electricity"
"person, hold, herdsman"
"person, touch, aphid"
"waterspout, hold, liquid"
"islander, have, gender"
"splicer, require, prescription"
"kid, use, trouser"
"person, keep, wineglass"
"horn, have, wing"
"window, have, screen"
"person, eat, nutcracker"
"puzzle, put, piece"
"person, smell, finding"
"person, smell, armpit"
"person, eat, abuser"
"person, avoid, life"
"pilot, drive, bomber"
"people, eat, burger"
"person, eat, plank"
"eardrum, change, shape"
"leakage, have, wheel"
"person, buy, arson"
"diva, have, baby"
"airlift, transport, people"
"plane, involve, people"
"person, touch, confetti"
"codpiece, use, electricity"
"tit, drive, car"
"throat, hold, job"
"person, use, drift"
"broccoli, have, resemblance"
"moose, have, antler"
"apple, involve, plant"
"kindergartener, involve, family"
"person, buy, planet"
"tsar, involve, service"
"ape, have, stripe"
"horse, have, hoove"
"ravioli, have, smell"
"man, use, urinal"
"person, hold, smidgen"
"clubstick, have, lot"
"moneymaker, have, feeling"
"postponement, make, noise"
"tick, have, leg"
"animal, use, playhouse"
"child, use, guardrail"
"carpenter, require, education"
"person, wear, optomotrist"
"mare, make, milk"
"shirt, have, button"
"petitioner, involve, job"
"granite, cost, money"
"animal, understand, kwanza"
"people, need, mount"
"chronograph, have, leg"
"rhino, have, tooth"
"person, find, suture"
"person, eat, plutonium"
"person, burn, handclap"
"person, wear, antiques"
"toddler, use, pail"
"person, eat, hearse"
"child, use, drug"
"people, enjoy, hemp"
"blender, use, electricity"
"auctioneer, involve, politics"
"beverage, have, alcohol"
"bugler, have, hoove"
"skateboard, have, wheel"
"human, eat, corn"
"player, have, leg"
"opiate, consume, water"
"phone, have, button"
"saucepan, have, button"
"leaf, have, color"
"lunchbox, have, handle"
"person, drive, sty"
"food, scare, people"
"gun, heal, people"
"person, find, suburb"
"person, ride, filer"
"stem, spray, water"
"cantaloupe, have, peel"
"person, touch, sun"
"cardiogram, warn, people"
"dog, have, brain"
"human, use, cloud"
"person, touch, spirit"
"envelope, have, switch"
"person, smash, headphone"
"person, buy, jailer"
"thoroughfare, change, form"
"person, hold, clergy"
"person, eat, white"
"person, use, fire"
"fruit, have, friend"
"folder, hold, something"
"spoon, require, electricity"
"chute, create, light"
"person, eat, hemp"
"person, wear, snowdrift"
"child, use, toys"
"person, drive, pinball"
"person, grill, cutlet"
"neat, cut, thing"
"fabric, have, dot"
"arsenic, contain, pasta"
"person, eat, lagoon"
"people, use, screenplay"
"person, hold, radar"
"person, touch, pool"
"paratroops, require, use"
"person, buy, artist"
"mansion, cost, lot"
"steeple, have, leafs"
"table, have, screen"
"saw, use, electricity"
"handiwork, have, base"
"people, use, camisole"
"person, use, meteor"
"person, feel, loin"
"squire, have, leg"
"person, ride, propeller"
"sheik, involve, budgeting"
"person, wear, whore"
"employer, have, finger"
"compost, have, wheel"
"person, push, dollar"
"hurricaine, hurt, people"
"person, hear, sky"
"person, see, merchandiser"
"people, eat, cadaver"
"halfpenny, make, noise"
"pinball, cut, something"
"fryer, open, anything"
"honeydew, provide, service"
"person, feed, overeater"
"uncle, have, fur"
"sand, have, function"
"islander, eat, food"
"furniture, have, leg"
"pig, have, scent"
"people, use, homestead"
"barracuda, have, fur"
"person, eat, desert"
"quake, cause, ground"
"jury, have, paw"
"kid, use, loudspeaker"
"sketchbook, require, electricity"
"plant, have, leave"
"syllabus, involve, something"
"person, bounce, ball"
"lamb, have, fur"
"underwriter, involve, star"
"person, touch, sanitarium"
"person, buy, headwind"
"person, carry, ore"
"person, ride, sidebar"
"person, eat, friut"
"lawyer, like, car"
"homepage, play, disc"
"lizard, have, fur"
"person, smoke, hickey"
"person, break, cd"
"flamethrower, have, leg"
"drill, have, arm"
"person, find, wedding"
"air, cost, money"
"person, eat, wristband"
"person, wear, umbrella"
"jouster, produce, heat"
"whetstone, have, color"
"person, hold, coin"
"crotch, involve, wood"
"dish, have, engine"
"short, have, wheel"
"warplane, have, window"
"crutch, remove, something"
"family, eat, hay"
"fight, make, noise"
"chainsaw, involve, plant"
"hand, involve, travel"
"suture, have, wheel"
"jackknife, open, door"
"disgust, involve, entertainment"
"person, hear, brain"
"throat, feel, pain"
"carnation, have, color"
"client, serve, purpose"
"bonsai, eat, fly"
"checkbook, involve, writing"
"people, eat, snapper"
"group, help, someone"
"crab, have, eye"
"boot, have, scale"
"geometry, involve, racquet"
"person, hold, sewer"
"child, use, jar"
"sapphire, make, noise"
"person, touch, tearoom"
"deli, involve, writing"
"examiner, have, job"
"person, inhale, puncture"
"mute, make, sound"
"tractor, need, gasoline"
"bait, weigh, lot"
"dignity, have, eye"
"everyone, have, nose"
"carpet, require, electricity"
"teeth, involve, cleaning"
"person, hold, light"
"person, drink, cucumber"
"someone, operate, transporter"
"person, take, pencil"
"lightbulb, use, power"
"backpack, have, door"
"person, use, gunboat"
"people, shape, clay"
"person, smell, router"
"mural, cost, $"
"person, see, charter"
"person, wear, develop"
"person, sell, ice"
"person, wear, hideout"
"maid, involve, cleaning"
"person, see, atom"
"butter, make, noise"
"cat, eat, plankton"
"person, drink, tusk"
"chainsaw, have, handle"
"cow, eat, hay"
"immigrant, have, leg"
"someone, build, house"
"backpacker, involve, group"
"pump, have, antler"
"monogram, have, wheel"
"sedan, have, door"
"lettering, involve, more"
"person, buy, wallboard"
"people, use, lawnmower"
"lot, have, money"
"caribou, have, tail"
"people, use, tape"
"vegetarian, eat, eggplant"
"person, see, growl"
"chicken, have, wing"
"school, involve, lot"
"everyone, have, flyswatter"
"unicorn, have, horn"
"person, ride, octopi"
"tonsil, have, skin"
"saxophone, have, motor"
"refinery, store, vehicle"
"tap, wash, dish"
"copilot, involve, plant"
"coordinator, have, money"
"accordion, make, noise"
"fodder, involve, writing"
"son, wear, dress"
"kink, have, scent"
"gazelle, have, horn"
"stone, have, baby"
"person, drive, stapler"
"person, wear, liger"
"rocket, use, electricity"
"person, buy, oceans"
"person, wear, campground"
"skier, involve, art"
"pulpit, have, wheel"
"person, use, backstreet"
"people, like, wheatgrass"
"person, move, canteen"
"child, use, linoleum"
"person, wear, tortellini"
"person, smoke, storybook"
"person, wear, hand"
"baboon, have, pouch"
"postponement, have, feeling"
"workbench, have, screen"
"person, drink, insulin"
"kid, use, comma"
"correspondent, have, tail"
"author, involve, writing"
"corkboard, tell, time"
"frog, eat, fly"
"person, take, briefcase"
"sofa, take, lot"
"person, touch, affect"
"shakers, use, electricity"
"person, consume, hombre"
"person, buy, drunkenness"
"boss, control, something"
"carpenter, use, worst"
"person, eat, avacado"
"person, eat, goulash"
"person, throw, tearoom"
"human, need, windpipe"
"google, operate, engine"
"person, use, microscope"
"person, lift, guidebook"
"historian, take, degree"
"fowl, lay, egg"
"marsupial, eat, plant"
"people, eat, shrimp"
"lock, protect, house"
"car, weigh, pound"
"vamp, make, noise"
"curtain, cover, window"
"person, consume, plastic"
"person, eat, diagram"
"person, find, blockage"
"badger, have, fur"
"people, eat, apple"
"thermometer, measure, anything"
"heron, have, leg"
"jaguar, have, spot"
"strawberry, give, fruit"
"hamster, like, sunshine"
"stove, generate, heat"
"person, touch, schoolchild"
"animal, eat, sweatshop"
"rainbow, have, wheel"
"turtle, have, tooth"
"kid, use, illustration"
"pamphlet, make, noise"
"chop, use, mind"
"professor, involve, degree"
"name, make, noise"
"person, eat, stick"
"people, shape, weeds"
"people, eat, pinecone"
"sandalwood, change, color"
"igniter, use, electricity"
"person, eat, thicket"
"testicle, help, people"
"daughter, have, roof"
"stove, produce, heat"
"exhibit, require, hand"
"people, use, tubing"
"eagle, have, wing"
"bone, hold, something"
"person, use, tip"
"backstreet, have, plant"
"person, replace, group"
"sportswoman, make, lot"
"chainsaw, use, water"
"person, hold, copper"
"confetti, make, noise"
"person, wear, exerciser"
"person, hold, ghost"
"widow, wear, clothing"
"holder, use, electricity"
"gopher, have, odor"
"hydroponics, hold, thing"
"people, enjoy, dust"
"train, use, electric"
"methanol, cost, money"
"moon, touch, ground"
"person, buy, weekend"
"person, touch, vinaigrette"
"pillow, utilize, tool"
"people, grow, teaspoonful"
"pet, use, hardcover"
"cornfield, eat, insect"
"contender, have, hair"
"simulation, have, rule"
"people, buy, schooner"
"person, eat, merchandiser"
"windowpane, use, electricity"
"storehouse, transmit, anything"
"busboy, use, technology"
"glasshouse, have, wheel"
"postmaster, involve, animal"
"person, eat, cola"
"building, involve, construction"
"cow, eat, grass"
"comet, use, technology"
"person, sell, inquisitor"
"sculpture, cost, $"
"person, eat, measurer"
"plant, have, root"
"gondola, use, oar"
"casserole, contain, form"
"person, touch, stair"
"sidewalk, require, cement"
"person, wear, ledge"
"bones, have, skin"
"pheromone, involve, food"
"controller, have, button"
"gear, use, electricity"
"bystander, require, training"
"moon, have, root"
"helicopter, smoke, cigarette"
"saw, use, source"
"yard, use, electricity"
"catcher, have, wheel"
"hourglass, use, electericity"
"person, eat, shunt"
"bench, involve, typing"
"sportswoman, involve, product"
"person, touch, playoff"
"person, buy, gland"
"bobtail, use, electricity"
"people, use, church"
"person, eat, tinsel"
"horseshoe, have, screen"
"person, throw, archipelago"
"gauze, have, screen"
"person, hold, galaxy"
"person, eat, sweetener"
"person, wear, drunkenness"
"people, like, monument"
"water, make, sound"
"cricket, make, noise"
"person, see, imagination"
"shark, eat, meat"
"widow, have, job"
"human, kill, leviathan"
"bra, support, anything"
"person, make, showcase"
"acrobat, involve, shooting"
"trash, provide, service"
"cabana, create, electricty"
"corkboard, make, noise"
"creep, involve, uniform"
"cornea, represent, group"
"chlorine, have, fur"
"person, eat, sty"
"glove, separate, finger"
"person, throw, mountain"
"sleazebag, wear, uniform"
"hideout, require, effort"
"camera, take, photo"
"person, spend, abuser"
"picture, make, sound"
"human, use, plates"
"snowboard, require, electricity"
"thumb, hold, thing"
"kid, use, ball"
"orphan, have, family"
"person, use, dumbell"
"cash, help, people"
"handicap, involve, blindness"
"gasp, change, shape"
"person, eat, waterfowl"
"saddle, take, electricity"
"madwoman, have, hair"
"horn, make, sound"
"robin, have, wing"
"person, hold, yolk"
"person, squeeze, tearoom"
"person, hold, trash"
"person, drive, ligament"
"crawlers, mix, something"
"person, wear, sneaker"
"electrons, make, sound"
"valet, involve, room"
"migration, involve, room"
"bear, have, foot"
"constable, change, shape"
"jelly, have, sugar"
"person, hold, sawdust"
"moon, make, noise"
"person, hold, highchair"
"cufflink, have, drawer"
"fingernail, have, sleeve"
"cars, have, wheel"
"person, hold, fan"
"moneymaker, wear, clothes"
"countryman, have, child"
"someone, borrow, magnetometer"
"stepladder, provide, shelter"
"kid, use, tuba"
"tutu, contain, thing"
"person, wear, whetstone"
"kid, use, confectionery"
"person, make, brain"
"egg, have, shell"
"script, cost, more"
"jewelry, require, communication"
"bed, have, headboard"
"beauty, weigh, anything"
"person, destroy, attire"
"person, wear, melon"
"person, touch, midsection"
"impostor, make, sound"
"runway, have, wall"
"person, drink, man"
"car, have, wheel"
"people, like, drowning"
"person, see, encampment"
"person, use, origami"
"floodplain, have, wheel"
"bluff, make, something"
"obstetrician, involve, market"
"violin, involve, music"
"water, change, property"
"sand, use, battery"
"toy, use, electricity"
"person, carry, logs"
"widow, eat, food"
"pie, use, electricity"
"bucket, involve, water"
"fork, hold, water"
"harpsichord, involve, water"
"person, wear, notebook"
"people, buy, occupation"
"door, bother, people"
"wolf, have, leg"
"lawyer, pay, $"
"champ, have, brain"
"age, wear, trousers"
"negligee, have, wheel"
"paperboy, sell, thing"
"person, touch, park"
"villa, hold, anything"
"person, upgrade, balloting"
"pew, use, electricity"
"person, use, pie"
"person, bring, dip"
"windowpane, produce, information"
"sardine, have, scale"
"person, share, dice"
"person, turn, reel"
"person, taste, interview"
"person, feel, light"
"accomplice, perform, job"
"person, hold, park"
"paintbrush, tell, time"
"tusk, have, wheel"
"people, catch, croaker"
"nutcracker, open, bottle"
"person, drink, traps"
"sonnet, have, wheel"
"surgeon, require, education"
"person, wear, sunscreen"
"shark, wear, hat"
"cat, make, noise"
"person, touch, dollop"
"ring, have, jewel"
"person, eat, excavation"
"people, obey, comment"
"fair, have, tusk"
"person, open, gal"
"vibrator, require, battery"
"methane, collect, information"
"person, touch, dungeon"
"hand, have, leg"
"beacon, kill, people"
"wall, use, ink"
"hookers, help, people"
"person, see, drainage"
"person, wear, ballad"
"ghost, cost, money"
"mom, hold, moon"
"person, grow, bitters"
"people, move, pore"
"person, wear, booth"
"man, carry, twin"
"person, wash, autograph"
"cap, have, color"
"copilot, involve, computer"
"person, use, blackhole"
"person, wear, sketchbook"
"people, use, bookshelf"
"person, use, episode"
"butcher, prepare, locust"
"physician, need, degree"
"exercise, cost, money"
"subcontractor, have, eye"
"person, see, hotbed"
"wing, sell, insurance"
"antacid, have, motor"
"pepper, use, electricity"
"dog, like, comma"
"person, hold, law"
"people, have, jade"
"sap, have, door"
"person, buy, log"
"cocoon, change, shape"
"foldout, use, electricity"
"pitchfork, use, electricity"
"elm, have, brain"
"plant, use, sunlight"
"perfume, make, smell"
"person, see, knoll"
"flusher, have, leg"
"people, buy, hotel"
"human, use, cow"
"home, have, eye"
"whale, eat, krill"
"malaria, involve, organizing"
"person, eat, historian"
"crossword, have, handle"
"ballplayer, have, skin"
"rice, require, cooking"
"person, use, mouse"
"goose, make, sound"
"aspirin, contain, tobacco"
"cavalryman, pay, $"
"people, own, concert"
"box, hold, thing"
"logos, hurt, person"
"warrior, have, hand"
"person, find, snapper"
"boat, have, engine"
"people, use, counter"
"whale, have, fin"
"person, see, tank"
"wingtip, hurt, person"
"kid, like, cognac"
"people, use, beeswax"
"tyrannosaurus, have, tusk"
"people, use, door"
"couch, involve, outdoors"
"sugarplum, have, leg"
"waiter, require, degree"
"opponent, have, leg"
"cook, have, size"
"arch, have, screen"
"crab, have, wing"
"person, touch, attire"
"person, hold, infield"
"river, contain, water"
"parasite, make, noise"
"sixpence, emit, light"
"kid, use, alarm"
"lamp, sell, type"
"pantry, require, attire"
"itinerary, involve, money"
"politician, require, skill"
"glass, produce, information"
"adult, use, rainbow"
"thesis, use, electricity"
"armload, have, cover"
"man, use, frogs"
"wristband, separate, finger"
"tape, have, lot"
"outer, make, noise"
"crossword, use, electricity"
"person, eat, oboe"
"aircraft, have, motor"
"person, read, grain"
"ox, have, mane"
"research, involve, view"
"person, buy, cop"
"child, use, guitar"
"crush, involve, person"
"writer, use, computer"
"person, touch, gravity"
"mongoose, have, fur"
"person, carry, pharmacy"
"spinout, involve, health"
"person, spend, lager"
"kid, use, currency"
"ringer, have, belt"
"creek, involve, human"
"pomegranate, have, leg"
"person, see, amaretto"
"circuit, use, electricity"
"letterhead, have, engine"
"catch, involve, luck"
"umbrella, have, wheel"
"hustler, breath, air"
"person, hate, rose"
"person, read, tearoom"
"machinery, make, thing"
"corn, have, leave"
"crow, have, feather"
"person, hold, cookbook"
"minefield, produce, light"
"wastepaper, contain, water"
"cancer, serve, purpose"
"kid, use, alehouse"
"cream, require, electricity"
"matchmaker, take, more"
"person, wear, stowaway"
"bowl, use, electricity"
"grandmother, have, leg"
"person, smell, browser"
"webbing, involve, writing"
"fan, use, electricity"
"people, like, cornea"
"stereo, make, sound"
"brain, have, leg"
"person, hold, sedative"
"person, grill, attraction"
"kid, use, shovel"
"person, touch, retainer"
"person, find, papaya"
"cat, have, hair"
"paperboy, require, degree"
"carrot, involve, food"
"longneck, need, electricity"
"person, use, enjoy"
"rooster, have, leg"
"person, eat, sun"
"box, contain, thing"
"case, cost, more"
"vessel, move, object"
"papaya, have, smell"
"luggage, have, wheel"
"wind, require, person"
"bat, make, noise"
"daggers, hold, something"
"person, hold, fighter"
"person, buy, life"
"person, hold, pretzel"
"kid, like, streamliner"
"highschool, power, itself"
"person, eat, binder"
"kid, use, bronze"
"mosquito, collect, nectar"
"maze, help, someone"
"talking, involve, speech"
"mousetrap, have, odor"
"pew, use, gas"
"whetstone, make, noise"
"netting, have, wheel"
"person, hurt, soap"
"person, buy, charisma"
"walmart, sell, pillow"
"person, lift, schoolbook"
"subcontractor, have, mouth"
"woman, breathe, oxygen"
"iodine, involve, writing"
"gentlefolk, imply, title"
"television, use, cable"
"saucepan, have, shape"
"person, drive, shilling"
"man, use, footings"
"neat, like, cheeseburger"
"butter, have, leg"
"person, eat, groceries"
"hock, have, tail"
"icepack, use, electricity"
"platform, have, lot"
"possum, have, tail"
"ape, have, tail"
"person, eat, manager"
"person, eat, kiwi"
"person, use, trombone"
"letterbox, involve, water"
"evaporator, need, electricity"
"person, lead, enough"
"clock, have, button"
"model, involve, entertainment"
"flashlight, cut, thing"
"human, use, pointer"
"person, wear, fountain"
"chicken, lay, egg"
"person, use, whetstone"
"pail, use, battery"
"attack, have, leg"
"person, buy, airfield"
"stretcher, have, engine"
"kindergartener, involve, parenthood"
"man, have, arm"
"paraphernalia, take, person"
"human, use, eyes"
"people, use, citrus"
"people, ingest, beef"
"truck, have, wheel"
"oxbow, have, leg"
"bomber, have, wheel"
"agency, solve, problem"
"battery, make, something"
"employer, have, hair"
"person, see, fedora"
"acrobat, involve, snow"
"nightspot, sell, type"
"person, light, menthol"
"height, sell, product"
"duel, hurt, person"
"jelly, help, people"
"a, childuse, calculator"
"person, burn, cartoon"
"human, use, dope"
"person, smash, midwife"
"bouquet, have, flower"
"person, use, shaver"
"person, touch, pain"
"sleazebag, involve, training"
"person, sell, lather"
"animal, use, quintet"
"goop, have, root"
"tablespoonful, have, handle"
"hyena, have, tail"
"people, operate, whirlybird"
"guitar, require, electricity"
"person, use, hairbrush"
"iguana, have, scale"
"varnish, hold, thing"
"person, hear, wifi"
"person, eat, hitter"
"man, use, peashooter"
"soap, have, opening"
"bronze, use, electricity"
"roof, provide, shelter"
"person, hold, swimsuit"
"person, see, tearoom"
"hotel, provide, service"
"animal, use, boy"
"tree, produce, fruit"
"person, eat, whiskbroom"
"child, use, weapon"
"silence, make, noise"
"opposite, have, head"
"smoke, help, person"
"animal, like, play"
"person, burn, scar"
"mammogram, include, object"
"jumping, involve, transportation"
"aunt, have, job"
"person, touch, crossword"
"person, wear, excretion"
"ambulance, have, wheel"
"cornfield, have, leave"
"tree, reflect, object"
"pantry, require, tool"
"juror, have, tooth"
"gun, make, noise"
"people, wear, pants"
"ferryboat, have, crane"
"person, eat, wound"
"lap, wear, clothes"
"tip, make, call"
"cook, bite, person"
"person, hold, car"
"knife, cut, anything"
"kid, use, chainsaw"
"ball, have, leave"
"fireworks, make, noise"
"percussion, make, sound"
"microwave, require, electricity"
"human, display, range"
"gun, harm, people"
"person, melt, popsicle"
"keys, have, wheel"
"lecturer, have, lot"
"person, touch, interview"
"xylophonist, require, education"
"hammer, require, electricity"
"beer, require, construction"
"playwright, involve, type"
"milk, have, liquid"
"goddaughter, have, pouch"
"wolf, wear, collar"
"man, wear, bra"
"person, consume, duel"
"lawn, serve, purpose"
"person, hold, brochure"
"pike, emit, light"
"denim, have, wheel"
"anyone, own, tea"
"car, seat, more"
"robe, have, gender"
"person, wear, tea"
"people, use, intersection"
"plating, have, leg"
"child, use, bold"
"person, use, drum"
"rash, have, shape"
"tailpipe, cost, lot"
"car, have, hood"
"banjo, have, metal"
"cosmetologist, require, labor"
"possum, eat, plant"
"potpourri, have, scent"
"person, see, toehold"
"person, move, skyscraper"
"sink, use, water"
"person, use, stove"
"zebras, involve, zoo"
"neat, require, degree"
"person, cook, typist"
"maid, require, communication"
"bobble, require, opener"
"baby, make, noise"
"camera, make, noise"
"people, want, throttle"
"animal, use, shipwreck"
"lion, eat, meat"
"lawyer, have, brain"
"person, share, avocado"
"plaster, have, hair"
"person, touch, currency"
"person, freeze, kabob"
"blowfish, have, feather"
"marcher, involve, entertainment"
"pedophile, require, license"
"dove, have, eye"
"duck, make, noise"
"signalman, serve, purpose"
"business, involve, meeting"
"person, eat, sunburn"
"sidearm, take, battery"
"mockingbird, have, feather"
"remote, have, battery"
"people, use, spades"
"person, eat, excretion"
"tiara, make, sound"
"vacationer, have, eye"
"person, ride, ground"
"malaria, involve, sport"
"photojournalist, make, noise"
"pepper, hold, beverage"
"person, drive, steeple"
"person, hold, shower"
"chess, require, power"
"spring, have, fur"
"exhibit, require, more"
"person, touch, postcard"
"bedpan, have, leg"
"person, touch, calamari"
"research, involve, typing"
"propeller, hold, thing"
"hammock, produce, water"
"person, wear, hardhat"
"person, wear, sundress"
"baptizer, involve, computer"
"dolphin, climb, tree"
"tank, have, wheel"
"stewpot, blend, food"
"adventurer, require, binocular"
"grass, have, child"
"badger, have, leg"
"people, visit, cemetery"
"person, burn, detonator"
"people, use, doorstop"
"lizard, change, color"
"man, use, nameplate"
"bangle, have, screen"
"customer, cost, money"
"lamp, emit, light"
"person, eat, pedal"
"doctor, have, tail"
"person, see, eyeball"
"car, make, noise"
"person, sell, patience"
"mapping, involve, zoning"
"highchair, have, smell"
"birdhouse, accomplish, task"
"blowfish, have, fur"
"housemate, drink, alcohol"
"boat, carry, object"
"people, buy, checker"
"flounder, make, smell"
"person, wear, icebox"
"person, touch, uproar"
"informer, involve, extermination"
"landmark, have, wall"
"mongrel, require, electricity"
"lizard, have, feather"
"biter, require, training"
"saleswoman, breath, air"
"person, eat, stage"
"person, drink, sty"
"person, touch, justice"
"fire hydrant, have, wheel"
"business, wear, clothes"
"stub, use, electricity"
"shutter, create, barrier"
"cancer, save, life"
"heart, make, sound"
"coming, take, place"
"person, wear, wound"
"calculator, use, number"
"person, drive, addressee"
"belt, have, mouth"
"spinach, produce, fruit"
"rigger, involve, people"
"shirt, have, sleeve"
"person, eat, denture"
"salespeople, wear, uniform"
"watch, tell, time"
"rock, have, fur"
"person, buy, headstone"
"cup, have, handle"
"bowl, have, handle"
"japan, have, leg"
"person, hold, lionfish"
"doctor, require, degree"
"wiener, have, leave"
"person, eat, column"
"person, melt, rock"
"radar, have, leg"
"cryptography, produce, scent"
"shampoo, absorb, water"
"photograph, need, electricity"
"litmus, hold, something"
"woman, use, peashooter"
"ground, have, handle"
"tetherball, have, motor"
"person, use, behemoth"
"person, touch, caretaker"
"person, touch, fatigue"
"person, keep, vineyard"
"squirrel, climb, tree"
"person, use, rake"
"bird, make, noise"
"door, serve, purpose"
"satellite, have, engine"
"band, clean, thing"
"bulldog, have, tooth"
"person, eat, percolator"
"person, touch, loudspeaker"
"chessboard, use, electricity"
"person, hold, game"
"aerialist, have, leave"
"shilling, make, food"
"drain, have, button"
"rollercoaster, involve, motion"
"modulator, involve, technology"
"derby, require, more"
"paprika, emit, light"
"structure, use, electricity"
"people, buy, fan"
"person, use, fertilizer"
"baseball, involve, group"
"soap, drink, water"
"coonhound, have, fur"
"barracuda, have, nipple"
"kid, use, bird"
"person, use, dinghy"
"person, carry, pegboard"
"tiger, have, stripe"
"toke, have, screen"
"human, use, potassium"
"person, hold, house"
"xylophonist, pay, higher"
"people, use, daybook"
"mutt, have, fur"
"animated, have, wing"
"person, eat, virus"
"handmaiden, involve, girl"
"letterbox, involve, door"
"yogurt, have, root"
"person, smell, alcohol"
"ceramics, have, weight"
"stickman, have, wheel"
"consultant, have, parent"
"firelight, involve, crime"
"icemaker, use, electricity"
"bin, hold, stuff"
"person, wear, centerpiece"
"feather, have, weight"
"tree, have, eye"
"person, throw, granite"
"research, require, interaction"
"person, touch, invoice"
"scalp, have, hair"
"milk, have, date"
"person, touch, cheesecloth"
"person, touch, warrior"
"person, cook, collage"
"human, wear, phone"
"person, water, bacon"
"sundial, like, sunshine"
"stub, use, water"
"electrode, have, date"
"paper, have, color"
"banister, have, wheel"
"person, eat, clutch"
"customer, have, leg"
"person, ride, billiard"
"people, use, soap"
"lawnmower, involve, animal"
"speaker, make, sound"
"fork, open, egg"
"human, use, kettledrum"
"tourist, buy, souvineers"
"checklist, have, metal"
"person, eat, phone"
"people, use, tailpipe"
"person, use, football"
"person, feel, ranch"
"fishmonger, make, food"
"chicken, eat, wood"
"child, use, toy"
"water, change, shape"
"acetylene, have, value"
"shilling, play, music"
"sagebrush, require, water"
"mailbox, cover, window"
"moose, grow, horn"
"style, require, labor"
"toilet, check, tempature"
"person, touch, rain"
"gunman, involve, babysitting"
"tablet, require, electricty"
"nozzle, have, handle"
"controller, cost, money"
"person, touch, bran"
"transistor, cost, money"
"person, hold, vise"
"child, use, centerpiece"
"orthopedist, provide, service"
"apostle, have, brain"
"calipers, have, fuel"
"pain, have, color"
"walking, involve, hand"
"axle, have, seat"
"outside, have, wall"
"precinct, serve, purpose"
"printer, involve, paper"
"machinery, send, fax"
"clambake, involve, weather"
"person, eat, toehold"
"person, touch, slice"
