verb,object,label
run,shore,1.0
run,forest,1.0
run,trail,1.0
run,snow,1.0
run,city,1.0
run,path,1.0
run,session,1.0
run,track,1.0
run,football,1.0
run,ball,1.0
run,team,1.0
run,match,1.0
run,sidewalk,1.0
run,mountain,1.0
run,pier,1.0
run,game,1.0
run,player,1.0
run,championship,1.0
run,ocean,1.0
run,play,1.0
run,rain,1.0
run,stair,1.0
run,balloon,1.0
run,camera,1.0
run,base,1.0
run,event,1.0
run,wood,1.0
run,pasture,1.0
run,court,1.0
run,lap,1.0
run,day,1.0
run,groom,1.0
run,background,1.0
run,pool,1.0
run,garden,1.0
run,race,1.0
run,athlete,1.0
run,grassland,1.0
run,bag,1.0
run,briefcase,1.0
run,edge,1.0
run,hand,1.0
run,pitch,1.0
run,quarter,1.0
run,stick,1.0
run,training,1.0
run,tree,1.0
run,wetland,1.0
run,defense,1.0
run,drill,1.0
run,reception,1.0
run,rock,1.0
run,surfboard,1.0
run,yard,1.0
run,yardage,1.0
run,zone,1.0
run,first,1.0
run,half,1.0
run,illustration,1.0
run,morning,1.0
run,tap,1.0
rush,ball,1.0
rush,beach,1.0
rush,touchdown,1.0
rush,lobby,1.0
sail,river,1.0
sail,boat,1.0
sail,bridge,1.0
sail,water,1.0
sail,canal,1.0
sail,sea,1.0
sail,waters,1.0
sail,harbor,1.0
salute,fan,1.0
salute,crowd,1.0
save,ball,1.0
save,shot,1.0
save,goal,1.0
save,kick,1.0
save,penalty,1.0
saw,tree,1.0
saw,wood,1.0
score,goal,1.0
score,game,1.0
score,team,1.0
score,point,1.0
score,touchdown,1.0
score,penalty,1.0
score,win,1.0
scramble,ball,1.0
scratch,head,1.0
scream,megaphone,1.0
seat,table,1.0
seat,grass,1.0
seat,bench,1.0
seat,sofa,1.0
see,game,1.0
see,photo,1.0
see,street,1.0
see,light,1.0
see,match,1.0
see,time,1.0
see,daughter,1.0
see,it,1.0
see,session,1.0
see,set,1.0
see,show,1.0
seem,spirit,1.0
sell,flower,1.0
sell,fruit,1.0
send,person,1.0
send,photo,1.0
serve,match,1.0
serve,player,1.0
serve,person,1.0
serve,food,1.0
serve,tournament,1.0
serve,dish,1.0
serve,meal,1.0
set,table,1.0
set,tree,1.0
set,background,1.0
set,sky,1.0
set,flare,1.0
set,play,1.0
set,cloud,1.0
set,landscape,1.0
shake,hand,1.0
shake,hair,1.0
shake,water,1.0
shake,leave,1.0
shake,head,1.0
shake,wind,1.0
shave,beard,1.0
shave,face,1.0
shine,sky,1.0
shine,lake,1.0
shine,light,1.0
shine,dress,1.0
shoot,team,1.0
shoot,layup,1.0
shoot,match,1.0
shoot,player,1.0
shoot,athlete,1.0
shoot,puck,1.0
shop,food,1.0
shout,sideline,1.0
shout,player,1.0
shout,slogan,1.0
shout,megaphone,1.0
show,sign,1.0
show,event,1.0
show,phone,1.0
show,figure,1.0
show,finger,1.0
show,card,1.0
show,person,1.0
show,briefcase,1.0
show,medal,1.0
show,tattoo,1.0
show,colour,1.0
show,one,1.0
show,show,1.0
show,thumb,1.0
show,arm,1.0
show,award,1.0
show,trophy,1.0
sign,class,1.0
sign,person,1.0
sing,stage,1.0
sing,concert,1.0
sing,crowd,1.0
sing,microphone,1.0
sing,show,1.0
sing,rehearsal,1.0
sing,music,1.0
sing,person,1.0
sing,background,1.0
sing,composition,1.0
sing,song,1.0
sing,match,1.0
sing,performance,1.0
sing,something,1.0
sing,street,1.0
sit,grass,1.0
sit,beach,1.0
sit,tree,1.0
sit,floor,1.0
sit,couch,1.0
sit,chair,1.0
sit,meadow,1.0
sit,wall,1.0
sit,front,1.0
sit,field,1.0
sit,bed,1.0
sit,park,1.0
sit,room,1.0
sit,lawn,1.0
sit,lake,1.0
sit,pier,1.0
sit,ground,1.0
sit,sand,1.0
sit,garden,1.0
sit,bench,1.0
sit,dune,1.0
sit,rock,1.0
sit,porch,1.0
sit,staircase,1.0
sit,desk,1.0
sit,wheelchair,1.0
sit,flower,1.0
sit,window,1.0
sit,street,1.0
sit,ledge,1.0
sit,ball,1.0
sit,car,1.0
sit,seat,1.0
sit,umbrella,1.0
sit,kitchen,1.0
sit,fence,1.0
sit,stair,1.0
sit,sea,1.0
sit,classroom,1.0
sit,hammock,1.0
sit,mat,1.0
sit,snow,1.0
sit,pile,1.0
sit,boardwalk,1.0
sit,stool,1.0
sit,terrace,1.0
sit,edge,1.0
sit,head,1.0
sit,row,1.0
sit,dog,1.0
sit,office,1.0
sit,hill,1.0
sit,house,1.0
sit,ocean,1.0
sit,railing,1.0
sit,roof,1.0
sit,skateboard,1.0
sit,jetty,1.0
sit,side,1.0
sit,top,1.0
sit,balcony,1.0
sit,carpet,1.0
sit,mountain,1.0
sit,back,1.0
sit,shop,1.0
sit,surfboard,1.0
sit,blanket,1.0
sit,boat,1.0
sit,horse,1.0
sit,bike,1.0
sit,deck,1.0
sit,library,1.0
sit,armchair,1.0
sit,cafe,1.0
sit,sidewalk,1.0
sit,step,1.0
sit,bicycle,1.0
sit,building,1.0
sit,home,1.0
sit,vehicle,1.0
sit,book,1.0
sit,dugout,1.0
sit,motorcycle,1.0
sit,sideline,1.0
sit,bank,1.0
sit,cart,1.0
sit,rail,1.0
sit,river,1.0
sit,wire,1.0
sit,pond,1.0
sit,seashore,1.0
sit,bottom,1.0
sit,camel,1.0
sit,cockpit,1.0
sit,dock,1.0
sit,fountain,1.0
sit,actor,1.0
sit,arm,1.0
sit,city,1.0
sit,cross,1.0
sit,desert,1.0
sit,doorway,1.0
sit,one,1.0
sit,shade,1.0
sit,stage,1.0
sit,sun,1.0
sit,tire,1.0
sit,trunk,1.0
sit,view,1.0
sit,wood,1.0
sit,bow,1.0
sit,lap,1.0
sit,laptop,1.0
sit,leaf,1.0
sit,log,1.0
sit,nest,1.0
sit,portrait,1.0
sit,scooter,1.0
sit,bus,1.0
sit,child,1.0
sit,motorbike,1.0
sit,rickshaw,1.0
skate,team,1.0
sleep,bench,1.0
sleep,couch,1.0
sleep,bed,1.0
sleep,book,1.0
sleep,table,1.0
sleep,classroom,1.0
sleep,sofa,1.0
sleep,car,1.0
sleep,street,1.0
sleep,chair,1.0
sleep,class,1.0
sleep,window,1.0
sleep,grass,1.0
sleep,hammock,1.0
slice,vegetable,1.0
slice,tomato,1.0
slide,ball,1.0
slide,inning,1.0
slide,hill,1.0
slide,base,1.0
slide,tackle,1.0
smash,ball,1.0
smile,background,1.0
smile,session,1.0
smile,beach,1.0
smile,front,1.0
smile,camera,1.0
smile,dress,1.0
smile,game,1.0
smile,wedding,1.0
snake,forest,1.0
snap,photo,1.0
sniff,flower,1.0
sow,field,1.0
sparkle,dress,1.0
sparkle,gown,1.0
speak,phone,1.0
speak,team,1.0
speak,microphone,1.0
speak,event,1.0
speak,player,1.0
speak,conference,1.0
speak,crowd,1.0
speak,patient,1.0
speak,person,1.0
speak,session,1.0
speak,meeting,1.0
speak,megaphone,1.0
speak,politician,1.0
speak,student,1.0
speed,water,1.0
speed,road,1.0
spin,ball,1.0
spin,basketball,1.0
spin,festival,1.0
splash,water,1.0
splash,rock,1.0
spot,session,1.0
spot,beach,1.0
spray,water,1.0
sprinkle,field,1.0
stand,field,1.0
stand,grass,1.0
stand,lake,1.0
stand,front,1.0
stand,wall,1.0
stand,table,1.0
stand,shore,1.0
stand,meadow,1.0
stand,pier,1.0
stand,tree,1.0
stand,park,1.0
stand,seashore,1.0
stand,room,1.0
stand,rock,1.0
stand,window,1.0
stand,car,1.0
stand,dune,1.0
stand,sea,1.0
stand,floor,1.0
stand,bridge,1.0
stand,lawn,1.0
stand,sand,1.0
stand,hand,1.0
stand,side,1.0
stand,boat,1.0
stand,arm,1.0
stand,chair,1.0
stand,ball,1.0
stand,snow,1.0
stand,horse,1.0
stand,kitchen,1.0
stand,sideline,1.0
stand,pool,1.0
stand,river,1.0
stand,forest,1.0
stand,ground,1.0
stand,umbrella,1.0
stand,hill,1.0
stand,office,1.0
stand,top,1.0
stand,door,1.0
stand,sunset,1.0
stand,track,1.0
stand,rain,1.0
stand,bicycle,1.0
stand,entrance,1.0
stand,house,1.0
stand,edge,1.0
stand,flower,1.0
stand,leg,1.0
stand,mountain,1.0
stand,podium,1.0
stand,shop,1.0
stand,sidewalk,1.0
stand,back,1.0
stand,balcony,1.0
stand,city,1.0
stand,crowd,1.0
stand,deck,1.0
stand,dog,1.0
stand,match,1.0
stand,terrace,1.0
stand,waterfront,1.0
stand,bike,1.0
stand,cart,1.0
stand,pasture,1.0
stand,touchline,1.0
stand,man,1.0
stand,player,1.0
stand,sculpture,1.0
stand,station,1.0
stand,woman,1.0
stand,building,1.0
stand,library,1.0
stand,mound,1.0
stand,branch,1.0
stand,desert,1.0
stand,team,1.0
stand,one,1.0
stand,pitch,1.0
stand,sky,1.0
stand,stair,1.0
stand,area,1.0
stand,bar,1.0
stand,counter,1.0
stand,dugout,1.0
stand,mirror,1.0
stand,platform,1.0
stand,portrait,1.0
stand,puddle,1.0
stand,railing,1.0
stand,site,1.0
stand,actor,1.0
stand,book,1.0
stand,circle,1.0
stand,piano,1.0
stand,pond,1.0
stand,porch,1.0
stand,stage,1.0
stand,tarmac,1.0
stand,village,1.0
stand,wood,1.0
stare,camera,1.0
stare,window,1.0
stare,distance,1.0
steal,ball,1.0
steal,show,1.0
steal,base,1.0
step,carpet,1.0
stop,road,1.0
stop,shot,1.0
stop,person,1.0
stop,ball,1.0
stream,tree,1.0
stretch,game,1.0
stretch,beach,1.0
stretch,session,1.0
stretch,coast,1.0
stretch,arm,1.0
stretch,hand,1.0
stretch,window,1.0
stretch,practice,1.0
stretch,wing,1.0
strike,ball,1.0
stroll,street,1.0
stroll,park,1.0
stroll,forest,1.0
stroll,market,1.0
study,book,1.0
study,classroom,1.0
study,library,1.0
study,art,1.0
stun,dress,1.0
stun,carpet,1.0
style,hair,1.0
style,dress,1.0
substitute,match,1.0
sunbathe,beach,1.0
support,team,1.0
support,person,1.0
support,woman,1.0
surround,tree,1.0
sway,wind,1.0
sway,breeze,1.0
sweep,street,1.0
sweep,snow,1.0
swim,sea,1.0
swim,lake,1.0
swim,river,1.0
swim,beach,1.0
swim,ocean,1.0
swim,pond,1.0
swim,waters,1.0
swing,ball,1.0
swing,bat,1.0
switch,light,1.0
tackle,player,1.0
tackle,ball,1.0
tackle,game,1.0
tackle,match,1.0
tackle,team,1.0
take,photo,1.0
take,picture,1.0
take,shot,1.0
take,game,1.0
take,child,1.0
take,team,1.0
take,photograph,1.0
take,money,1.0
take,person,1.0
take,player,1.0
take,dog,1.0
take,glass,1.0
take,swing,1.0
take,win,1.0
take,helmet,1.0
take,kick,1.0
take,model,1.0
take,stage,1.0
take,boy,1.0
take,pitch,1.0
take,background,1.0
take,cup,1.0
take,hand,1.0
take,hit,1.0
take,jump,1.0
take,kid,1.0
take,piece,1.0
take,view,1.0
take,image,1.0
take,road,1.0
take,bow,1.0
take,part,1.0
take,pill,1.0
take,practice,1.0
talk,phone,1.0
talk,office,1.0
talk,woman,1.0
talk,mobile,1.0
talk,person,1.0
talk,audience,1.0
talk,team,1.0
talk,patient,1.0
talk,session,1.0
talk,actor,1.0
talk,man,1.0
talk,room,1.0
talk,student,1.0
tap,ball,1.0
taste,glass,1.0
teach,person,1.0
teach,student,1.0
team,dress,1.0
tell,person,1.0
thank,fan,1.0
think,something,1.0
throw,game,1.0
throw,team,1.0
throw,pitch,1.0
throw,player,1.0
throw,bouquet,1.0
throw,tree,1.0
throw,net,1.0
throw,touchdown,1.0
throw,first,1.0
tie,shore,1.0
tie,tree,1.0
tie,harbor,1.0
toast,glass,1.0
toss,ball,1.0
toss,hair,1.0
toss,bat,1.0
toss,bouquet,1.0
touch,hair,1.0
touch,face,1.0
tow,car,1.0
tow,trailer,1.0
train,training,1.0
transport,river,1.0
travel,city,1.0
travel,road,1.0
travel,highway,1.0
travel,water,1.0
travel,boat,1.0
travel,train,1.0
trek,forest,1.0
trim,grass,1.0
trot,meadow,1.0
trot,field,1.0
try,dress,1.0
try,hand,1.0
turn,head,1.0
turn,camera,1.0
turn,it,1.0
turn,car,1.0
turn,color,1.0
turn,play,1.0
turn,vigil,1.0
type,message,1.0
type,something,1.0
use,camera,1.0
use,computer,1.0
use,stethoscope,1.0
use,card,1.0
use,smartphone,1.0
use,laptop,1.0
use,phone,1.0
use,car,1.0
use,pc,1.0
use,umbrella,1.0
use,ball,1.0
use,tire,1.0
use,tablet,1.0
use,binoculars,1.0
use,cellphone,1.0
vie,ball,1.0
vie,player,1.0
vie,footballer,1.0
view,picture,1.0
visit,person,1.0
visit,area,1.0
visit,city,1.0
visit,patient,1.0
wait,person,1.0
walk,beach,1.0
walk,road,1.0
walk,forest,1.0
walk,water,1.0
walk,pier,1.0
walk,park,1.0
walk,sea,1.0
walk,snow,1.0
walk,sand,1.0
walk,grass,1.0
walk,tree,1.0
walk,hill,1.0
walk,ocean,1.0
walk,seashore,1.0
walk,lake,1.0
walk,city,1.0
walk,dune,1.0
walk,boardwalk,1.0
walk,meadow,1.0
walk,mountain,1.0
walk,river,1.0
walk,footpath,1.0
walk,coast,1.0
walk,sidewalk,1.0
walk,team,1.0
walk,path,1.0
walk,alley,1.0
walk,wall,1.0
walk,sunset,1.0
walk,bridge,1.0
walk,house,1.0
walk,pavement,1.0
walk,garden,1.0
walk,hand,1.0
walk,match,1.0
walk,player,1.0
walk,edge,1.0
walk,fountain,1.0
walk,horse,1.0
walk,track,1.0
walk,wood,1.0
walk,staircase,1.0
walk,embankment,1.0
walk,window,1.0
walk,area,1.0
walk,canal,1.0
walk,day,1.0
walk,fog,1.0
walk,woodland,1.0
walk,camera,1.0
walk,pitch,1.0
walk,bag,1.0
walk,ball,1.0
walk,rock,1.0
walk,shoreline,1.0
walk,surf,1.0
walk,walkway,1.0
walk,jetty,1.0
walk,person,1.0
walk,sculpture,1.0
walk,stair,1.0
walk,town,1.0
walk,avenue,1.0
walk,wedding,1.0
walk,front,1.0
walk,sandbar,1.0
walk,background,1.0
walk,building,1.0
walk,fan,1.0
walk,floor,1.0
walk,footbridge,1.0
walk,rail,1.0
walk,vehicle,1.0
walk,village,1.0
walk,woman,1.0
walk,dugout,1.0
walk,office,1.0
walk,site,1.0
walk,sunshine,1.0
walk,camel,1.0
walk,game,1.0
walk,groom,1.0
walk,mound,1.0
walk,night,1.0
walk,step,1.0
walk,airport,1.0
walk,briefcase,1.0
walk,child,1.0
walk,court,1.0
walk,dock,1.0
walk,mall,1.0
walk,one,1.0
walk,beachfront,1.0
walk,father,1.0
walk,lakefront,1.0
walk,morning,1.0
walk,suitcase,1.0
walk,train,1.0
walk,training,1.0
walk,branch,1.0
walk,business,1.0
walk,carpet,1.0
walk,isle,1.0
walk,poster,1.0
walk,roof,1.0
walk,storm,1.0
wander,street,1.0
warm,game,1.0
warm,match,1.0
wash,hand,1.0
wash,face,1.0
wash,hair,1.0
wash,clothes,1.0
wash,vegetable,1.0
wash,window,1.0
wash,rock,1.0
wash,shore,1.0
wash,beach,1.0
watch,ball,1.0
watch,slam,1.0
watch,run,1.0
watch,sideline,1.0
watch,triple,1.0
wave,hand,1.0
wave,flag,1.0
wave,front,1.0
wave,wind,1.0
wave,crowd,1.0
wave,breeze,1.0
wear,glass,1.0
wear,dress,1.0
wear,clothes,1.0
wear,hat,1.0
wear,shoe,1.0
wear,clothing,1.0
wear,gown,1.0
wear,jacket,1.0
wear,beard,1.0
wear,costume,1.0
welcome,person,1.0
welcome,guest,1.0
whip,hair,1.0
win,game,1.0
win,ball,1.0
win,league,1.0
win,player,1.0
win,event,1.0
win,person,1.0
win,race,1.0
win,medal,1.0
win,round,1.0
win,time,1.0
wind,pitch,1.0
work,team,1.0
work,arm,1.0
work,class,1.0
work,event,1.0
work,field,1.0
work,ball,1.0
work,drill,1.0
wow,gown,1.0
wow,carpet,1.0
wrestle,person,1.0
write,something,1.0
write,book,1.0
write,notepad,1.0
write,paper,1.0
write,sand,1.0
write,background,1.0
write,note,1.0
write,it,1.0
write,message,1.0
yell,player,1.0
yell,sideline,1.0
yell,team,1.0
yell,instruction,1.0
